"LVIV Jul-Oct 2020 GeoMag (Bx). Smooth Spline Int."
Time        Bx
233.717863464469        19856.3905011623         
233.71928254291         19856.4879635931         
233.72070162135         19856.5701393249         
233.722120699791        19856.6640827696         
233.723539778232        19856.8252090945         
233.724958856672        19857.0281882948         
233.726377935113        19857.1475609057         
233.727797013553        19857.0969691711         
233.729216091994        19856.8920591106         
233.730635170434        19856.6752763636         
233.732054248875        19856.5887158588         
233.733473327315        19856.6377316827         
233.734892405756        19856.7700753116         
233.736311484196        19856.9506460524         
233.737730562637        19857.1391654885         
233.739149641077        19857.2730297961         
233.740568719518        19857.3189739975         
233.741987797958        19857.2832202166         
233.743406876399        19857.2066155373         
233.744825954839        19857.1387908643         
233.74624503328         19857.1043853252         
233.74766411172         19857.1013009384         
233.749083190161        19857.1175618496         
233.750502268602        19857.1493037866         
233.751921347042        19857.1601195633         
233.753340425483        19857.1342078507         
233.754759503923        19857.0741256408         
233.756178582364        19856.969363958          
233.757597660804        19856.8428248453         
233.759016739245        19856.7673834898         
233.760435817685        19856.7961835979         
233.761854896126        19856.9179117215         
233.763273974566        19857.0809317751         
233.764693053007        19857.2272495131         
233.766112131447        19857.3356090185         
233.767531209888        19857.4268163465         
233.768950288328        19857.5486122111         
233.770369366769        19857.6970621051         
233.771788445209        19857.8145523237         
233.77320752365         19857.8866515864         
233.77462660209         19857.9615489751         
233.776045680531        19858.0116077003         
233.777464758972        19858.0344606013         
233.778883837412        19858.0257171633         
233.780302915853        19857.9587394075         
233.781721994293        19857.8633566948         
233.783141072734        19857.8266480622         
233.784560151174        19857.8935619025         
233.785979229615        19858.0506325731         
233.787398308055        19858.2738194862         
233.788817386496        19858.521626066          
233.790236464936        19858.7780056911         
233.791655543377        19859.0247414082         
233.793074621817        19859.2414720202         
233.794493700258        19859.4077442684         
233.795912778698        19859.5205018968         
233.797331857139        19859.597394345          
233.798750935579        19859.7177868327         
233.80017001402         19859.9516632022         
233.801589092461        19860.2864391969         
233.803008170901        19860.6771534824         
233.804427249342        19861.038172479          
233.805846327782        19861.2317952878         
233.807265406223        19861.207035073          
233.808684484663        19861.0141797604         
233.810103563104        19860.7490312803         
233.811522641544        19860.5227024711         
233.812941719985        19860.4311979958         
233.814360798425        19860.5216240325         
233.815779876866        19860.7882157705         
233.817198955306        19861.1775358416         
233.818618033747        19861.5939708819         
233.820037112187        19861.8806809725         
233.821456190628        19861.9386184708         
233.822875269068        19861.7655175189         
233.824294347509        19861.427480204          
233.82571342595         19861.0590702183         
233.82713250439         19860.7770895194         
233.828551582831        19860.6451101041         
233.829970661271        19860.6843261912         
233.831389739712        19860.8564925034         
233.832808818152        19861.1211616883         
233.834227896593        19861.4710057344         
233.835646975033        19861.8407638936         
233.837066053474        19862.1005602567         
233.838485131914        19862.1868069943         
233.839904210355        19862.1472953398         
233.841323288795        19862.0952152819         
233.842742367236        19862.1308651634         
233.844161445676        19862.3141999394         
233.845580524117        19862.6500215006         
233.846999602557        19863.0444336707         
233.848418680998        19863.3402635284         
233.849837759438        19863.4412919267         
233.851256837879        19863.3261324248         
233.85267591632         19863.0406917109         
233.85409499476         19862.71317627           
233.855514073201        19862.4093661371         
233.856933151641        19862.0972623822         
233.858352230082        19861.8057986223         
233.859771308522        19861.6032672037         
233.861190386963        19861.4811179831         
233.862609465403        19861.4207571901         
233.864028543844        19861.4161842295         
233.865447622284        19861.4238442783         
233.866866700725        19861.4192637933         
233.868285779165        19861.4242054764         
233.869704857606        19861.4682685594         
233.871123936046        19861.5475716389         
233.872543014487        19861.6280233185         
233.873962092927        19861.7011451196         
233.875381171368        19861.825360088          
233.876800249809        19862.0497367239         
233.878219328249        19862.370248943          
233.87963840669         19862.7362744667         
233.88105748513         19863.0276059804         
233.882476563571        19863.1477360026         
233.883895642011        19863.0666989087         
233.885314720452        19862.8057960446         
233.886733798892        19862.4592874334         
233.888152877333        19862.1474402782         
233.889571955773        19861.9680911609         
233.890991034214        19861.9189128413         
233.892410112654        19861.9446079658         
233.893829191095        19861.9910768193         
233.895248269535        19862.0133531247         
233.896667347976        19861.9865847712         
233.898086426416        19861.8977256473         
233.899505504857        19861.7382288869         
233.900924583298        19861.4984668063         
233.902343661738        19861.1774584142         
233.903762740179        19860.7953520249         
233.905181818619        19860.43272185           
233.90660089706         19860.1695031723         
233.9080199755          19860.0002085334         
233.909439053941        19859.8663045129         
233.910858132381        19859.7641102054         
233.912277210822        19859.7368204317         
233.913696289262        19859.8356329004         
233.915115367703        19860.070605095          
233.916534446143        19860.4336230069         
233.917953524584        19860.8742709214         
233.919372603024        19861.2935930417         
233.920791681465        19861.6410582671         
233.922210759905        19861.9719784328         
233.923629838346        19862.3694452457         
233.925048916786        19862.897458357          
233.926467995227        19863.5134360046         
233.927887073668        19864.1142860826         
233.929306152108        19864.6053418653         
233.930725230549        19864.9051645249         
233.932144308989        19864.9636627631         
233.93356338743         19864.7982738545         
233.93498246587         19864.5083667632         
233.936401544311        19864.2299653244         
233.937820622751        19864.0199975134         
233.939239701192        19863.812996267          
233.940658779632        19863.4809267159         
233.942077858073        19862.9669434063         
233.943496936513        19862.3279516834         
233.944916014954        19861.6555227366         
233.946335093394        19861.091414629          
233.947754171835        19860.7287579007         
233.949173250275        19860.6302964034         
233.950592328716        19860.8123271448         
233.952011407156        19861.1711412124         
233.953430485597        19861.552044869          
233.954849564038        19861.796813707          
233.956268642478        19861.8369291346         
233.957687720919        19861.7445517201         
233.959106799359        19861.6892535326         
233.9605258778          19861.7659845314         
233.96194495624         19861.9283170881         
233.963364034681        19862.0649437062         
233.964783113121        19862.0756719438         
233.966202191562        19861.9266943861         
233.967621270002        19861.6244912488         
233.969040348443        19861.1809823752         
233.970459426883        19860.6440928704         
233.971878505324        19860.1156306919         
233.973297583764        19859.7338587351         
233.974716662205        19859.583489369          
233.976135740645        19859.6392848838         
233.977554819086        19859.8081999067         
233.978973897526        19859.9847837632         
233.980392975967        19860.0855423598         
233.981812054408        19860.0522474754         
233.983231132848        19859.8895762036         
233.984650211289        19859.6517113272         
233.986069289729        19859.3745757305         
233.98748836817         19859.0759873726         
233.98890744661         19858.7947315802         
233.990326525051        19858.5791402795         
233.991745603491        19858.448003444          
233.993164681932        19858.4178279792         
233.994583760372        19858.5041032704         
233.996002838813        19858.6939120776         
233.997421917253        19858.9293205973         
233.998840995694        19859.1615383923         
234.000260074134        19859.3608077652         
234.001679152575        19859.4815033831         
234.003098231016        19859.4998872312         
234.004517309456        19859.4312338588         
234.005936387897        19859.2662172285         
234.007355466337        19858.9962556238         
234.008774544778        19858.5950372186         
234.010193623218        19858.0797766293         
234.011612701659        19857.5770367991         
234.013031780099        19857.2750650672         
234.01445085854         19857.2966647308         
234.01586993698         19857.6149275066         
234.017289015421        19858.0654445356         
234.018708093861        19858.4146771527         
234.020127172302        19858.4695870561         
234.021546250742        19858.2111698061         
234.022965329183        19857.76320166           
234.024384407623        19857.2886573024         
234.025803486064        19856.9569076139         
234.027222564504        19856.9478956095         
234.028641642945        19857.4079693709         
234.030060721386        19858.33646996           
234.031479799826        19859.4973826486         
234.032898878267        19860.531766918          
234.034317956707        19861.16965936           
234.035737035148        19861.3572127122         
234.037156113588        19861.1983139292         
234.038575192029        19860.8172724637         
234.039994270469        19860.3209802215         
234.04141334891         19859.8294304796         
234.04283242735         19859.4317741802         
234.044251505791        19859.1496816166         
234.045670584231        19859.0172165497         
234.047089662672        19859.0772160405         
234.048508741112        19859.3605483174         
234.049927819553        19859.8127840292         
234.051346897993        19860.3291360335         
234.052765976434        19860.7766409965         
234.054185054874        19861.0449850173         
234.055604133315        19861.0771603774         
234.057023211756        19860.9375121943         
234.058442290196        19860.7305050163         
234.059861368637        19860.4867884914         
234.061280447077        19860.2335334231         
234.062699525518        19860.0230356553         
234.064118603958        19859.9024006496         
234.065537682399        19859.8786549796         
234.066956760839        19859.9373450184         
234.06837583928         19860.0425082043         
234.06979491772         19860.1372235816         
234.071213996161        19860.1734123577         
234.072633074601        19860.1343655867         
234.074052153042        19860.0599665311         
234.075471231482        19859.974338575          
234.076890309923        19859.8762070231         
234.078309388364        19859.763717864          
234.079728466804        19859.6265558736         
234.081147545245        19859.4811282042         
234.082566623685        19859.3772241789         
234.083985702126        19859.3647746641         
234.085404780566        19859.4737846368         
234.086823859007        19859.7286003621         
234.088242937447        19860.1233167605         
234.089662015888        19860.6221661752         
234.091081094328        19861.1502567968         
234.092500172769        19861.5954497165         
234.093919251209        19861.8382268809         
234.09533832965         19861.8462632729         
234.09675740809         19861.671410405          
234.098176486531        19861.39053528           
234.099595564971        19861.0974009764         
234.101014643412        19860.8524774892         
234.102433721852        19860.7030384641         
234.103852800293        19860.6884881892         
234.105271878734        19860.7615936613         
234.106690957174        19860.8373740954         
234.108110035615        19860.8265172516         
234.109529114055        19860.7050858315         
234.110948192496        19860.5133651974         
234.112367270936        19860.2855513206         
234.113786349377        19860.0608954097         
234.115205427817        19859.8799407988         
234.116624506258        19859.7560281016         
234.118043584698        19859.6714807478         
234.119462663139        19859.6309379751         
234.120881741579        19859.6377247745         
234.12230082002         19859.6550923971         
234.12371989846         19859.6536699755         
234.125138976901        19859.6229631577         
234.126558055341        19859.5698509821         
234.127977133782        19859.4829869553         
234.129396212222        19859.3440484981         
234.130815290663        19859.2084196604         
234.132234369104        19859.1510457181         
234.133653447544        19859.1771545928         
234.135072525985        19859.2376884922         
234.136491604425        19859.3017718913         
234.137910682866        19859.4069400579         
234.139329761306        19859.5582914814         
234.140748839747        19859.7122697925         
234.142167918187        19859.8349655438         
234.143586996628        19859.9758245075         
234.145006075068        19860.1860254181         
234.146425153509        19860.440025366          
234.147844231949        19860.7101615473         
234.14926331039         19860.9811508325         
234.15068238883         19861.2168510973         
234.152101467271        19861.3479004904         
234.153520545711        19861.3687363367         
234.154939624152        19861.3005664098         
234.156358702592        19861.1126064421         
234.157777781033        19860.8097525765         
234.159196859474        19860.499311142          
234.160615937914        19860.2901679938         
234.162035016355        19860.2509444095         
234.163454094795        19860.3647155562         
234.164873173236        19860.5292635123         
234.166292251676        19860.6555037824         
234.167711330117        19860.7276923059         
234.169130408557        19860.7746813294         
234.170549486998        19860.8444430772         
234.171968565438        19860.96481735           
234.173387643879        19861.1618324752         
234.174806722319        19861.4733840666         
234.17622580076         19861.9464832862         
234.1776448792          19862.5997645741         
234.179063957641        19863.3168290706         
234.180483036082        19863.8784432505         
234.181902114522        19864.050305629          
234.183321192963        19863.7593689674         
234.184740271403        19863.1015778415         
234.186159349844        19862.2671004666         
234.187578428284        19861.4931441238         
234.188997506725        19860.9228860445         
234.190416585165        19860.5790333578         
234.191835663606        19860.3990367546         
234.193254742046        19860.3315075574         
234.194673820487        19860.3469261437         
234.196092898927        19860.3867322878         
234.197511977368        19860.3877001835         
234.198931055808        19860.3008468099         
234.200350134249        19860.1190053281         
234.201769212689        19859.8661961038         
234.20318829113         19859.591515753          
234.20460736957         19859.3208141785         
234.206026448011        19859.064376433          
234.207445526452        19858.8478534414         
234.208864604892        19858.6486819924         
234.210283683333        19858.4266210968         
234.211702761773        19858.1910702885         
234.213121840214        19857.9589202106         
234.214540918654        19857.7288490818         
234.215959997095        19857.4859265871         
234.217379075535        19857.2276659126         
