t,x,y,z
10.13125,19840.4,2202.9,45633.4
10.13194,19840.3,2203.0,45633.6
10.13264,19840.6,2203.0,45633.6
10.13333,19840.7,2202.9,45633.5
10.13403,19841.0,2203.0,45633.4
10.13472,19840.6,2203.2,45633.9
10.13542,19840.2,2203.5,45634.2
10.13611,19840.2,2204.1,45634.3
10.13681,19840.7,2204.3,45634.4
10.1375,19840.7,2203.8,45634.3
10.13819,19840.5,2204.0,45634.6
10.13889,19840.1,2204.6,45634.9
10.13958,19840.3,2205.1,45635.3
10.14028,19840.6,2205.4,45635.4
10.14097,19840.6,2205.2,45635.2
10.14167,19840.4,2204.7,45635.2
10.14236,19840.5,2204.5,45635.3
10.14306,19840.6,2204.2,45635.1
10.14375,19840.3,2204.1,45635.0
10.14444,19840.6,2204.1,45635.0
10.14514,19840.2,2204.3,45635.6
10.14583,19840.6,2204.1,45635.4
10.14653,19840.8,2203.9,45634.9
10.14722,19841.1,2203.8,45634.9
10.14792,19841.3,2203.8,45635.8
10.14861,19842.0,2203.8,45635.3
10.14931,19842.5,2203.5,45635.3
10.15,19843.3,2203.4,45635.3
10.15069,19842.8,2203.1,45634.9
10.15139,19842.0,2203.8,45634.8
10.15208,19842.7,2204.6,45634.5
10.15278,19843.1,2205.2,45634.7
10.15347,19843.5,2204.7,45634.4
10.15417,19843.1,2204.7,45634.8
10.15486,19842.7,2204.9,45634.7
10.15556,19843.1,2205.1,45634.5
10.15625,19843.0,2204.5,45634.8
10.15694,19843.3,2204.0,45634.4
10.15764,19843.6,2204.0,45633.9
10.15833,19843.0,2203.7,45634.3
10.15903,19843.1,2203.6,45634.2
10.15972,19843.3,2203.5,45634.3
10.16042,19843.5,2203.4,45634.2
10.16111,19843.4,2203.0,45634.6
10.16181,19843.4,2202.2,45634.2
10.1625,19843.4,2202.0,45633.9
10.16319,19843.0,2202.1,45634.2
10.16389,19842.7,2202.4,45634.3
10.16458,19842.6,2202.5,45634.5
10.16528,19841.3,2201.6,45637.9
10.16597,19842.1,2202.8,45635.6
10.16667,19841.9,2202.5,45637.0
10.16736,19842.0,2202.4,45638.1
10.16806,19841.6,2201.6,45639.9
10.16875,19841.7,2201.6,45639.4
10.16944,19841.7,2202.3,45638.0
10.17014,19841.8,2201.6,45638.3
10.17083,19842.3,2200.9,45637.9
