Time (Day)	LVV B-Z (nT)
13.61458	45636.30
13.61528	45636.50
13.61597	45636.60
13.61667	45636.40
13.61736	45636.60
13.61806	45636.50
13.61875	45636.10
13.61944	45636.10
13.62014	45636.00
13.62083	45636.00
13.62153	45635.80
13.62222	45636.00
13.62292	45636.30
13.62361	45636.80
13.62431	45637.10
13.62500	45636.60
13.62569	45636.90
13.62639	45635.70
13.62708	45635.40
13.62778	45635.60
13.62847	45636.20
13.62917	45637.00
13.62986	45637.20
13.63056	45636.90
13.63125	45635.10
13.63194	45635.00
13.63264	45636.20
13.63333	45636.30
13.63403	45635.80
13.63472	45635.70
13.63542	45634.80
13.63611	45634.90
13.63681	45635.50
13.63750	45635.00
13.63819	45635.50
13.63889	45635.90
13.63958	45635.30
13.64028	45635.10
13.64097	45634.70
13.64167	45635.70
13.64236	45635.70
13.64306	45635.60
13.64375	45635.80
13.64444	45636.00
13.64514	45636.10
13.64583	45636.10
13.64653	45636.10
13.64722	45636.20
13.64792	45636.10
13.64861	45636.00
13.64931	45635.80
13.65000	45635.20
13.65069	45635.20
13.65139	45636.60
13.65208	45636.50
13.65278	45636.10
13.65347	45635.70
13.65417	45635.70
13.65486	45635.90
13.65556	45636.20
13.65625	45636.60
13.65694	45635.40
13.65764	45635.20
13.65833	45636.30
13.65903	45636.50
13.65972	45636.40
13.66042	45635.20
13.66111	45634.00
13.66181	45635.60
13.66250	45635.90
13.66319	45635.50
13.66389	45634.30
13.66458	45636.50
13.66528	45636.70
13.66597	45635.40
13.66667	45635.00
13.66736	45636.70
13.66806	45637.00
13.66875	45637.30
13.66944	45637.50
13.67014	45637.90
13.67083	45637.60
13.67153	45637.70
13.67222	45637.60
13.67292	45637.50
13.67361	45637.60
13.67431	45637.50
13.67500	45637.30
13.67569	45637.20
13.67639	45637.20
13.67708	45637.20
13.67778	45637.50
13.67847	45637.80
13.67917	45637.20
13.67986	45637.30
13.68056	45637.80
13.68125	45637.60
13.68194	45637.70
13.68264	45637.30
13.68333	45637.00
13.68403	45637.10
13.68472	45637.10
13.68542	45636.80
13.68611	45636.40
13.68681	45636.80
13.68750	45637.20
13.68819	45637.10
13.68889	45636.90
13.68958	45636.80
13.69028	45636.60
13.69097	45637.20
13.69167	45636.90
13.69236	45637.00
13.69306	45637.00
13.69375	45636.40
13.69444	45636.50
13.69514	45637.10
13.69583	45637.60
13.69653	45637.40
13.69722	45637.70
13.69792	45638.60
13.69861	45638.90
13.69931	45638.50
13.70000	45638.90
13.70069	45638.30
13.70139	45638.70
13.70208	45638.90
13.70278	45639.00
13.70347	45638.70
13.70417	45639.20
13.70486	45639.00
13.70556	45638.60
13.70625	45638.10
13.70694	45638.10
13.70764	45638.50
13.70833	45637.80
13.70903	45637.90
13.70972	45638.00
13.71042	45638.00
13.71111	45638.50
13.71181	45638.70
13.71250	45638.60
13.71319	45638.40
13.71389	45638.30
13.71458	45637.10
13.71528	45636.80
13.71597	45637.00
13.71667	45636.70
13.71736	45636.80
13.71806	45636.40
13.71875	45635.80
13.71944	45637.10
